T,D
857,0.3686
858,0.354929
859,0.354929
860,0.354929
861,0.341259
862,0.341259
863,0.327588
864,0.327588
865,0.327588
866,0.313918
867,0.313918
868,0.313918
869,0.300248
870,0.286577
871,0.286577
872,0.286577
873,0.286577
874,0.286577
875,0.286577
876,0.286577
877,0.286577
878,0.286577
879,0.286577
880,0.286577
881,0.286577
882,0.272907
883,0.286577
884,0.286577
885,0.286577
886,0.286577
887,0.286577
888,0.286577
889,0.286577
890,0.286577
891,0.286577
892,0.286577
893,0.286577
894,0.286577
895,0.286577
896,0.286577
897,0.300248
898,0.300248
899,0.327588
900,0.327588
901,0.341259
902,0.341259
903,0.341259
904,0.341259
905,0.341259
906,0.341259
907,0.354929
908,0.354929
909,0.354929
910,0.341259
911,0.354929
912,0.354929
913,0.354929
914,0.3686
915,0.38227
916,0.38227
917,0.38227
918,0.38227
919,0.3686
920,0.3686
921,0.3686
922,0.3686
923,0.300248
924,0.300248
925,0.300248
926,0.300248
927,0.300248
928,0.286577
929,0.272907
930,0.272907
931,0.272907
932,0.272907
933,0.286577
934,0.286577
935,0.286577
936,0.272907
937,0.272907
938,0.272907
939,0.272907
940,0.272907
941,0.272907
942,0.272907
943,0.272907
944,0.272907
945,0.272907
946,0.272907
947,0.272907
948,0.272907
949,0.272907
950,0.272907
951,0.272907
952,0.286577
953,0.272907
954,0.272907
955,0.272907
956,0.272907
957,0.272907
958,0.272907
959,0.272907
960,0.272907
961,0.272907
962,0.272907
963,0.272907
964,0.272907
965,0.272907
966,0.272907
967,0.286577
968,0.272907
969,0.286577
970,0.286577
971,0.272907
972,0.272907
973,0.272907
974,0.272907
975,0.286577
976,0.272907
977,0.272907
978,0.272907
979,0.272907
980,0.272907
981,0.286577
982,0.286577
983,0.272907
984,0.286577
985,0.286577
986,0.272907
987,0.286577
988,0.286577
989,0.300248
990,0.300248
991,0.300248
992,0.300248
993,0.327588
994,0.327588
995,0.341259
996,0.3686
997,0.3686
998,0.3686
999,0.3686
1000,0.3686
1001,0.341259
1002,0.341259
1003,0.341259
1004,0.341259
1005,0.341259
1006,0.327588
1007,0.313918
1008,0.313918
1009,0.300248
1010,0.300248
1011,0.286577
1012,0.286577
1013,0.286577
1014,0.272907
1015,0.272907
1016,0.272907
1017,0.272907
1018,0.272907
1019,0.272907
1020,0.272907
1021,0.272907
1022,0.286577
1023,0.286577
1024,0.286577
1025,0.286577
1026,0.286577
1027,0.286577
1028,0.286577
1029,0.286577
1030,0.286577
1031,0.286577
1032,0.286577
1033,0.286577
1034,0.286577
1035,0.286577
1036,0.286577
1037,0.286577
1038,0.286577
1039,0.286577
1040,0.286577
1041,0.300248
1042,0.300248
